Reference Designator,Value,Package,Description,Manufacturer,Manufacturer Part Number,Distributor,Distributor Part Number,Notes
CONN1 BLACK,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson BLACK,Anderson Power Products,1327G6-BK,Allied Electronics,70162000,
CONN2 BLACK,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson BLACK,Anderson Power Products,1327G6-BK,Allied Electronics,70162000,
CONN3 BLACK,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson BLACK,Anderson Power Products,1327G6-BK,Allied Electronics,70162000,
CONN4 BLACK,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson BLACK,Anderson Power Products,1327G6-BK,Allied Electronics,70162000,
CONN5 BLACK,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson BLACK,Anderson Power Products,1327G6-BK,Allied Electronics,70162000,
CONN6 BLACK,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson BLACK,Anderson Power Products,1327G6-BK,Allied Electronics,70162000,
CONN7 BLACK,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson BLACK,Anderson Power Products,1327G6-BK,Allied Electronics,70162000,
CONN8 BLACK,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson BLACK,Anderson Power Products,1327G6-BK,Allied Electronics,70162000,
CONN9 BLACK,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson BLACK,Anderson Power Products,1327G6-BK,Allied Electronics,70162000,
CONN10 BLACK,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson BLACK,Anderson Power Products,1327G6-BK,Allied Electronics,70162000,
CONN1 RED,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson RED,Anderson Power Products,1327FP-BK,Allied Electronics,70162010,
CONN2 RED,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson RED,Anderson Power Products,1327FP-BK,Allied Electronics,70162010,
CONN3 RED,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson RED,Anderson Power Products,1327FP-BK,Allied Electronics,70162010,
CONN4 RED,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson RED,Anderson Power Products,1327FP-BK,Allied Electronics,70162010,
CONN5 RED,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson RED,Anderson Power Products,1327FP-BK,Allied Electronics,70162010,
CONN6 RED,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson RED,Anderson Power Products,1327FP-BK,Allied Electronics,70162010,
CONN7 RED,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson RED,Anderson Power Products,1327FP-BK,Allied Electronics,70162010,
CONN8 RED,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson RED,Anderson Power Products,1327FP-BK,Allied Electronics,70162010,
CONN9 RED,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson RED,Anderson Power Products,1327FP-BK,Allied Electronics,70162010,
CONN10 RED,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson RED,Anderson Power Products,1327FP-BK,Allied Electronics,70162010,
CONN1 METAL,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson METAL BOARD CONN,Anderson Power Products,1377G2-BK,Allied Electronics,70162019,
CONN2 METAL,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson METAL BOARD CONN,Anderson Power Products,1377G2-BK,Allied Electronics,70162019,
CONN3 METAL,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson METAL BOARD CONN,Anderson Power Products,1377G2-BK,Allied Electronics,70162019,
CONN4 METAL,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson METAL BOARD CONN,Anderson Power Products,1377G2-BK,Allied Electronics,70162019,
CONN5 METAL,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson METAL BOARD CONN,Anderson Power Products,1377G2-BK,Allied Electronics,70162019,
CONN6 METAL,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson METAL BOARD CONN,Anderson Power Products,1377G2-BK,Allied Electronics,70162019,
CONN7 METAL,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson METAL BOARD CONN,Anderson Power Products,1377G2-BK,Allied Electronics,70162019,
CONN8 METAL,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson METAL BOARD CONN,Anderson Power Products,1377G2-BK,Allied Electronics,70162019,
