Reference Designator,Value,Package,Description,Manufacturer,Manufacturer Part Number,Distributor,Distributor Part Number,Notes
APM HEADER,,ARDUINO_PRO_MICRO,Standard Female Headers,3M,929974-01-12-RK,DigiKey,929974E-01-12-ND,
APM HEADER,,ARDUINO_PRO_MICRO,Standard Female Headers,3M,929974-01-12-RK,DigiKey,929974E-01-12-ND,
APM,ARUINO_PRO_MICRO,ARDUINO_PRO_MICRO,Arduino Pro Micro,Feiyang electronics,,AliExpress,32284746884,AliExpress
C1,33 nF,0603-CAP,Capacitor,"Samsung Electro-Mechanics America, Inc",CL10B333KB8SFNC,DigiKey,1276-2042-2-ND,
D1,16V,SMA-DIODE_ALT,Diode,Vishay Semiconductor Diodes Division,SS16-E3/61T,DigiKey,SS16-E3/61TGICT-ND,Substituting with equal or higher-rated part OK.
DIAGA,RED,LED0603,LEDs,Lite-On Inc,LTST-C170KRKT,DigiKey,160-1415-1-ND,
DIAGB,YELLOW,LED0603,LEDs,Lite-On Inc,LTST-C170KSKT,DigiKey,160-1416-1-ND,
IC1,VNH2SP30,VNH2SP30,VNH2SP30,StMicroElectronics,VNH2SP30TR-E,DigiKey,497-4501-1-ND,
MOTA,RED,LED0603,LEDs,Lite-On Inc,LTST-C170KRKT,DigiKey,160-1415-1-ND,Actually Just by 0805 LEDs for RevA
MOTB,YELLOW,LED0603,LEDs,Lite-On Inc,LTST-C171KSKT,DigiKey,160-1428-1-ND,Actually Just by 0805 LEDs for RevA
Q1,N-CHANNEL-MOSFETTO252,N-CHANNEL-MOSFETTO252,MOSFET N-CH 30V 90A TO252-3,Infineon Technologies,IPD90N03S4L-02,DigiKey,IPD90N03S4L-02DKR-ND,
R1,4.7K,R-US_R0603,"RESISTOR, American symbol",,RC0603FR-074K7L,DigiKey,311-4.70KHRDKR-ND,
R2,4.7K,R-US_R0603,"RESISTOR, American symbol",,RC0603FR-074K7L,DigiKey,311-4.70KHRDKR-ND,
R3,1K,R-US_R0603,"RESISTOR, American symbol",,RC0603JR-071KL,DigiKey,311-1.0KGRDKR-ND,
R4,1K,R-US_R0603,"RESISTOR, American symbol",,RC0603JR-071KL,DigiKey,311-1.0KGRDKR-ND,
R5,1K,R-US_R0603,"RESISTOR, American symbol",,RC0603JR-071KL,DigiKey,311-1.0KGRDKR-ND,
R6,1K,R-US_R0603,"RESISTOR, American symbol",,RC0603JR-071KL,DigiKey,311-1.0KGRDKR-ND, 
R7,1K,R-US_R0603,"RESISTOR, American symbol",,RC0603JR-071KL,DigiKey,311-1.0KGRDKR-ND,
R8,10K,R-US_R0603,"RESISTOR, American symbol",,RC0603JR-0710KL,DigiKey,311-10KGRTR-ND,
R9,10K,R-US_R0603,"RESISTOR, American symbol",,RC0603JR-0710KL,DigiKey,311-10KGRTR-ND,
R10,1.5K,R-US_R0603,"RESISTOR, American symbol",,RC0603JR-071K5L,DigiKey,311-1.5KGRDKR-ND,
R11,100K,R-US_R0603,"RESISTOR, American symbol",,RC0603JR-07100KL,DigiKey,311-100KGRDKR-ND,
R12,330,R0603,"RESISTOR, American symbol",Rohm Semiconductor,MCR03ERTJ331,DigiKey,RHM330CGTR-ND,
R13,330,R0603,"RESISTOR, American symbol",Rohm Semiconductor,MCR03ERTJ331,DigiKey,RHM330CGTR-ND,
R14,330,R0603,"RESISTOR, American symbol",Rohm Semiconductor,MCR03ERTJ331,DigiKey,RHM330CGTR-ND,
R15,330,R0603,"RESISTOR, American symbol",Rohm Semiconductor,MCR03ERTJ331,DigiKey,RHM330CGTR-ND,
VBAT METAL,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson METAL BOARD CONN,Anderson Power Products,1377G3-BK,Allied Electronics,70162019,
VBAT METAL,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson METAL BOARD CONN,Anderson Power Products,1377G3-BK,Allied Electronics,70162019,
VBAT BLACK,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson BLACK,Anderson Power Products,1327G6-BK,Allied Electronics,70162000,
VBAT RED,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson RED,Anderson Power Products,1327FP-BK,Allied Electronics,70162010,
VMOT METAL,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson METAL BOARD CONN,Anderson Power Products,1377G3-BK,Allied Electronics,70162019,
VMOT METAL,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson METAL BOARD CONN,Anderson Power Products,1377G3-BK,Allied Electronics,70162019,
VMOT BLACK,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson BLACK,Anderson Power Products,1327G6-BK,Allied Electronics,70162000,
VMOT RED,ANDERSONVERTICAL,ANDERSON_VERTICAL,25A Anderson RED,Anderson Power Products,1327FP-BK,Allied Electronics,70162010,
